party,year,total_votes,no_of_seats
SVJSP,2019,1085,2
SVPP,2014,394,1
SVPP,2019,14882,4
SVRP,2014,944,1
SWAJANPA,2019,25494,9
SWAP,2019,2805,3
SWJP,2014,10008,2
SWJP,2019,1899,1
SWP,2014,1105073,2
SWP,2019,834380,2
SWPI,2014,11361,4
SWSP,2014,4016,1
SWSP,2019,2069,1
SaBP,2014,16078,5
SaBP,2019,6395,2
SaDa,2014,2329,1
SaDa,2019,2901,1
SaRaPa,2019,1961,1
SaSaP,2014,4947,1
SaSaP,2019,2417,1
SaVP,2014,763,1
SaVP,2019,2688,1
SamSP,2014,16501,6
SamSP,2019,9396,1
SanS,2019,1987,1
SatBP,2019,22560,7
SoJP,2019,805,1
SwaBP,2019,5064,3
TDP,2014,14099230,30
TDP,2019,12515345,25
TECPI,2014,2311,1
TECPI,2019,1660,1
TELYS,2019,3407,1
TGPJP,2019,521,1
TJS,2019,57073,1
TLP,2014,2567,2
TMC(M),2019,220849,1
TNLK,2019,37356,16
TNMC,2014,49024,10
TNRMPI,2019,4672,2
TPGC,2014,8952,2
TRIPP,2019,2076,1
TRMRPPI,2014,1071,1
TRS,2014,6736270,17
TRS,2019,7696848,17
TSP,2019,1048,1
TTNC,2014,474,1
TTNP,2019,2516,1
ToP,2019,330,1
UBM,2019,689,1
UCPI,2014,6472,3
UDFS,2019,451,1
UDP,2014,106817,1
UDP,2019,267256,1
UKDD,2019,12629,4
UKKD,2019,8830,4
UMK,2014,9194,8
UMK,2019,9007,6
UPI,2014,944,1
UPJP,2019,120800,27
UPNSE,2019,2051,1
UPP,2014,2045,1
UPP,2019,5351,1
UPPL,2019,312435,1
UPRP,2014,542,1
USIP,2019,1244,1
UTSAP,2019,2375,1
UtPP,2019,2041,2
VAJP,2014,350,1
VBA,2019,3743560,47
VCK,2014,606110,2
VCK,2019,507261,6
VCSMP,2019,17856,4
VHS,2014,2880,3
VIP,2014,23991,8
VIP,2019,3756,3
VIPty,2019,3694,2
VJCP,2014,3972,1
VJNP,2019,1726,2
VMMKT,2019,1108,1
VMSKP,2019,1529,1
VPI,2019,105972,20
VPP,2019,14974,4
VSIP,2019,660706,4
VSP,2014,263,1
VSP,2019,8784,3
VoP,2014,1089,1
VoP,2019,2478,2
WAP,2019,29392,1
WPOI,2014,228645,25
